序号,目录,说明,图片路径,来源站点,待核原因,核实状态
1,"art","阿昌族民歌 · 配图","/images/art/achang-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
2,"art","阿昌族织锦 · 配图","/images/art/achang-weaving-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
3,"art","安昭舞 · 配图","/images/art/anzhao-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
4,"art","艾德莱斯绸 · 配图","/images/art/atlas-silk-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
5,"art","白族大本曲 · 配图","/images/art/bai-dabenqu-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
6,"art","白剧 · 配图","/images/art/bai-opera-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
7,"art","白族扎染 · 配图","/images/art/bai-tie-dye-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
8,"art","摆手舞 · 配图","/images/art/baishou-hand-waving-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
9,"art","打柴舞 · 配图","/images/art/bamboo-pole-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
10,"art","布朗族蜂桶鼓舞 · 配图","/images/art/blang-beehive-drum-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
11,"art","布朗族服饰 · 配图","/images/art/blang-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
12,"art","布朗族弹唱 · 配图","/images/art/blang-plucking-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
13,"art","保安族服饰 · 配图","/images/art/bonan-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
14,"art","保安族花儿 · 配图","/images/art/bonan-hua-er-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
15,"art","保安族腰刀锻制技艺 · 配图","/images/art/bonan-knife-forging-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
16,"art","布依族蜡染 · 配图","/images/art/bouyei-batik-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
17,"art","布依族服饰 · 配图","/images/art/bouyei-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
18,"art","布依八音坐唱 · 配图","/images/art/bouyei-eight-tone-music-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
19,"art","中国书法 · 配图","/images/art/chinese-calligraphy-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
20,"art","中国剪纸 · 配图","/images/art/chinese-paper-cutting-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
21,"art","傣族织锦 · 配图","/images/art/dai-brocade-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
22,"art","傣族象脚鼓舞 · 配图","/images/art/dai-elephant-foot-drum-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
23,"art","傣族孔雀舞 · 配图","/images/art/dai-peacock-dance-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
24,"art","达斡尔族民歌 · 配图","/images/art/daur-folk-songs-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
25,"art","达斡尔族哈尼卡 · 配图","/images/art/daur-hanika-paper-figures-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
26,"art","德昂族服饰 · 配图","/images/art/de-ang-costume-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
27,"art","德昂族酸茶制作技艺 · 配图","/images/art/de-ang-sour-tea-making-u.webp","来源待核","艺术专属封面；采集时的具体来源未记录在案，需核对。","unverified"
